target_word,base_word,target_example,base_example
Berbeza,Different,Mereka berbeza.,They are different.
Nampak,Look / seem,Awak nampak penat.,You look tired.
Rasa,Feel / taste,Saya rasa sedih.,I feel sad.
Dengar,Hear,Saya dengar bunyi.,I hear a sound.
Cakap,Speak,Dia cakap perlahan.,He speaks softly.
Bincang,Discuss,Kita bincang nanti.,We will discuss later.
Pilih,Choose,Pilih satu.,Choose one.
Cuba lagi,Try again,Cuba lagi esok.,Try again tomorrow.
Ingat,Remember,Ingat janji itu.,Remember that promise.
Lupa,Forget,Jangan lupa.,Do not forget.
Percaya,Believe,Saya percaya awak.,I believe you.
Setuju,Agree,Saya setuju.,I agree.
Tidak setuju,Disagree,Saya tidak setuju.,I disagree.
Harap,Hope,Saya harap berjaya.,I hope it works.
Perlu ke?,Is it necessary?,Perlu ke?,Is it necessary?
Kenapa tidak?,Why not?,Kenapa tidak?,Why not?
Betul tak?,Right or not?,Betul tak?,Is that right?
Sebenarnya,Actually,"Sebenarnya, saya sibuk.","Actually, I am busy."
Mungkin,Maybe,Mungkin esok.,Maybe tomorrow.
Sudah tentu,Of course,Sudah tentu.,Of course.
Pada pendapat saya,In my opinion,"Pada pendapat saya, ini baik.","In my opinion, this is good."
Bagi saya,For me,"Bagi saya, cukup.","For me, it is enough."
Ikut,Follow,Ikut saya.,Follow me.
Cuba faham,Try to understand,Cuba faham dulu.,Try to understand first.
Masalah,Problem,Ada masalah.,There is a problem.
Penyelesaian,Solution,Ini penyelesaian.,This is the solution.
Keputusan,Decision,Keputusan sudah dibuat.,The decision is made.
Pilihan,Choice,Ini pilihan saya.,This is my choice.
Cara,Way / method,Cara ini senang.,This way is easy.
Tempat,Place,Tempat ini bagus.,This place is good.
Masa,Time,Kita ada masa.,We have time.
Peluang,Opportunity,Peluang baik.,A good opportunity.
Peluang,Opportunity,Ini peluang baik.,This is a good opportunity.
Kawan,Friend,Dia kawan saya.,He is my friend.
Orang,Person / people,Ramai orang datang.,Many people came.
Semua,All,Semua sudah siap.,Everything is ready.
Setiap,Every,Setiap hari saya kerja.,I work every day.
Beberapa,Several,Beberapa orang hadir.,Several people attended.
Banyak,Many / a lot,Banyak kerja hari ini.,There is a lot of work today.
Sedikit sahaja,Only a little,Sedikit sahaja gula.,Only a little sugar.
Boleh jadi,Could be,Boleh jadi betul.,It could be correct.
Tak kisah,Don’t mind,Saya tak kisah.,I don’t mind.
Tak apa-apa,Nothing / it’s fine,Tak apa-apa.,It’s fine.
Terpulang,Up to you,Terpulang pada awak.,It’s up to you.
Jaga diri,Take care,Jaga diri.,Take care.
Jumpa lagi,See you again,Jumpa lagi.,See you again.
Lama tak jumpa,Long time no see,Lama tak jumpa.,Long time no see.
Saya setuju dengan awak,I agree with you,Saya setuju dengan awak.,I agree with you.
Saya tak pasti tentang itu,I’m not sure about that,Saya tak pasti tentang itu.,I’m not sure about that.
Tak apa,It’s okay / never mind,Tak apa.,It’s okay.
Boleh,Can / okay,Boleh.,Okay.
Tak boleh,Cannot,Tak boleh masuk.,Cannot enter.
Boleh lah,"Okay, can",Boleh lah.,"Okay, that works."
Tak tahu,Don’t know,Saya tak tahu.,I don’t know.
Tak pasti,Not sure,Saya tak pasti.,I’m not sure.
Mungkin,Maybe,Mungkin nanti.,Maybe later.
Betul,Correct / right,Itu betul.,That is correct.
Salah,Wrong,Itu salah.,That is wrong.
Betul ke?,Really? / Is that true?,Betul ke?,Is that true?
Macam ni,Like this,Buat macam ni.,Do it like this.
Macam tu,Like that,Jangan macam tu.,Don’t do it like that.
Macam mana?,How? / What about?,Macam mana sekarang?,What about now?
Apa maksudnya?,What does it mean?,Apa maksudnya?,What does it mean?
Perlahan sikit,Slower please,Perlahan sikit.,"Slower, please."
Cepat sikit,A bit faster,Cepat sikit.,"A bit faster, please."
Sekejap,A moment,Sekejap ya.,Just a moment.
Tunggu,Wait,Tunggu saya.,Wait for me.
Nanti dulu,Wait first,Nanti dulu.,Wait first.
Jom,Let’s go,Jom pergi.,Let’s go.
Tak kisah,I don’t mind,Tak kisah.,I don’t mind.
Ikut awak,Up to you,Ikut awak.,Up to you.
Boleh juga,That works too,Boleh juga.,That works too.
Tak masalah,No problem,Tak masalah.,No problem.
Terima kasih banyak,Thank you very much,Terima kasih banyak.,Thank you very much.
Sama-sama,You’re welcome,Sama-sama.,You’re welcome.
Maaf ya,Sorry (casual),Maaf ya.,Sorry.
Tumpang tanya,Excuse me (asking),Tumpang tanya.,Excuse me.
Penat lah,I’m tired,Penat lah.,I’m tired.
Lapar lah,I’m hungry,Lapar lah.,I’m hungry.
Dah siap,Finished already,Dah siap.,Already finished.
Belum lagi,Not yet,Belum lagi.,Not yet.
Tak faham,Don’t understand,Tak faham.,I don’t understand.
Faham,Understand,Faham.,I understand.
Okey je,It’s fine,Okey je.,It’s fine.
Jumpa nanti,See you later,Jumpa nanti.,See you later.
Jumpa lagi,See you again,Jumpa lagi.,See you again.
